product_id,product_origin_id,reviewEval,reviewEvalValues,reviewTopic
2895204941,[벨비죠]마린 화이트닝 UV 썬 크림 / 미백 기능성 / 촉촉하고 화사한 광채  빛 연출 /  메이크업베이스 겸용,자극도,"따끔거려요,0-보통이에요,9-순해요,14",지속력-사용감-품질-만족도-가격-커버력-광택-효과
3743710860,[벨비죠]이데베논 캡슐 앰플 30 ml,수분감,"건조해요,0-보통이에요,5-촉촉해요,33",향기-만족도-가격-사용감-트러블 개선-효과-보습력
3743710860,[벨비죠]이데베논 캡슐 앰플 30 ml,트러블,"조금 있었어요,0-잘 모르겠어요,5-전혀 없었어요,33",향기-만족도-가격-사용감-트러블 개선-효과-보습력
3743710860,[벨비죠]이데베논 캡슐 앰플 30 ml,제형,"되직해요,3-적당해요,32-묽어요,3",향기-만족도-가격-사용감-트러블 개선-효과-보습력
2884676563,[벨비죠]씨탱글 하이드로겔 아이패치60매 - 눈가탄력강화+고보습+생기부여!,피부개선,"별로예요,3-보통이에요,33-개선됐어요,16",사용감-트러블 개선-만족도-효과
2884676563,[벨비죠]씨탱글 하이드로겔 아이패치60매 - 눈가탄력강화+고보습+생기부여!,수분감,"건조해요,1-보통이에요,16-촉촉해요,35",사용감-트러블 개선-만족도-효과
1001099666,"천연, 비건화장품 | 보나쥬르 그린티워터밤 수분크림 100ml",수분감,"건조해요,9-보통이에요,142-촉촉해요,421",향기-품질-사용감-만족도-성분-효과
1001099666,"천연, 비건화장품 | 보나쥬르 그린티워터밤 수분크림 100ml",트러블,"조금 있었어요,32-잘 모르겠어요,149-전혀 없었어요,391",향기-품질-사용감-만족도-성분-효과
1001099666,"천연, 비건화장품 | 보나쥬르 그린티워터밤 수분크림 100ml",제형,"되직해요,9-적당해요,409-묽어요,154",향기-품질-사용감-만족도-성분-효과
1001086637,"천연, 비건화장품 | 보나쥬르 펩타이드 워터밤 100ml",수분감,"건조해요,0-보통이에요,7-촉촉해요,17",용량-사용감-성분-향기-트러블 개선-만족도-가격-효과
1001086637,"천연, 비건화장품 | 보나쥬르 펩타이드 워터밤 100ml",트러블,"조금 있었어요,1-잘 모르겠어요,7-전혀 없었어요,16",용량-사용감-성분-향기-트러블 개선-만족도-가격-효과
1001086637,"천연, 비건화장품 | 보나쥬르 펩타이드 워터밤 100ml",제형,"되직해요,0-적당해요,17-묽어요,7",용량-사용감-성분-향기-트러블 개선-만족도-가격-효과
1001062758,"천연, 비건화장품 | 보나쥬르 익스트림 흔적세럼 100ml",수분감,"건조해요,0-보통이에요,5-촉촉해요,15",사용감-트러블 개선-만족도-가격-효과
1001062758,"천연, 비건화장품 | 보나쥬르 익스트림 흔적세럼 100ml",트러블,"조금 있었어요,1-잘 모르겠어요,2-전혀 없었어요,17",사용감-트러블 개선-만족도-가격-효과
1001062758,"천연, 비건화장품 | 보나쥬르 익스트림 흔적세럼 100ml",제형,"되직해요,0-적당해요,17-묽어요,3",사용감-트러블 개선-만족도-가격-효과
1001060273,"천연, 비건화장품 | 보나쥬르 익스트림 스팟세럼",수분감,"건조해요,0-보통이에요,7-촉촉해요,9",사용감-성분-트러블 개선-만족도-효과
1001060273,"천연, 비건화장품 | 보나쥬르 익스트림 스팟세럼",트러블,"조금 있었어요,3-잘 모르겠어요,7-전혀 없었어요,6",사용감-성분-트러블 개선-만족도-효과
1001060273,"천연, 비건화장품 | 보나쥬르 익스트림 스팟세럼",제형,"되직해요,0-적당해요,11-묽어요,5",사용감-성분-트러블 개선-만족도-효과
3715102810,"천연, 비건화장품 | 보나쥬르 그린티워터밤 토너 205ml",수분감,"건조해요,0-보통이에요,6-촉촉해요,11",용량-사용감-향기-트러블 개선-가격-효과
3715102810,"천연, 비건화장품 | 보나쥬르 그린티워터밤 토너 205ml",트러블,"조금 있었어요,0-잘 모르겠어요,4-전혀 없었어요,13",용량-사용감-향기-트러블 개선-가격-효과
3715102810,"천연, 비건화장품 | 보나쥬르 그린티워터밤 토너 205ml",제형,"되직해요,6-적당해요,10-묽어요,1",용량-사용감-향기-트러블 개선-가격-효과
1001068946,"천연, 비건화장품 | 보나쥬르 노세범 뽀송 미스트 50ml",수분감,"건조해요,0-보통이에요,8-촉촉해요,2",트러블 개선-만족도-분사력-효과
1001068946,"천연, 비건화장품 | 보나쥬르 노세범 뽀송 미스트 50ml",분사력,"별로예요,3-적당해요,5-아주 좋아요,2",트러블 개선-만족도-분사력-효과
1001068946,"천연, 비건화장품 | 보나쥬르 노세범 뽀송 미스트 50ml",향/냄새,"별로예요,0-향이 괜찮아요,9-마음에 들어요,1",트러블 개선-만족도-분사력-효과
2742735097,뷰솔 메이크업 칫솔브러쉬 3호 파운데이션 파우더 쉐딩 페이스브러시,자극도,"따끔거려요,0-보통이에요,8-순해요,16",
2742735097,뷰솔 메이크업 칫솔브러쉬 3호 파운데이션 파우더 쉐딩 페이스브러시,가성비,"별로예요,2-괜찮아요,9-아주 좋아요,13",
2777139048,[3월특가] 뷰솔4호 결자국없는 메이크업브러쉬 블러셔 쉐딩 칫솔브러쉬,자극도,"따끔거려요,0-보통이에요,5-순해요,27",
2777139048,[3월특가] 뷰솔4호 결자국없는 메이크업브러쉬 블러셔 쉐딩 칫솔브러쉬,가성비,"별로예요,0-괜찮아요,10-아주 좋아요,22",
1002668071,"[뷰앤뷰] 리페어 크림(100ml/수분부족형지성용,민감성피부용)",수분감,"건조해요,0-보통이에요,10-촉촉해요,29",사용감-보습력-성분-향기-트러블 개선-만족도-가격-분사력
